the  la
sweatshirt  sweat-shirt
prolific  prolifique
gladly  volontier
mythical  mythique
leukemia  leucémie
marginalize  marginaliser
mulch  paillis
upwards  vers le haut
unnamed  anonyme
syndicated  syndiqué
far-reaching  de grande envergure
powerhouse  centrale
front-runner  avant-coureur
(sidebar)  (encadré)
defective  défectueux
shabby  minable
censor  censurer
schoolchild  écolier
construe  interpréter
overhaul  révision
conducive  propice
conceptualize  conceptualiser
disable  désactiver
trough  creux
warmly  chaleureusement
ludicrous  ridicule
trappings  ornements
tenderness  tendresse
beige  beige
throng  foule
scoff  moquerie
veggie  végétarien
generalized  généralisé
treasurer  trésorier
optimum  optimum
sanity  santé mentale
pitfall  piège
articulation  articulation
revolutionize  révolutionner
mammoth  mammouth
fervor  ferveur
(treasury)  (trésorerie)
dagger  dague
hem  ourlet
revolver  revolver
abduction  enlèvement
determinant  déterminant
chiefly  principalement
shrewd  astucieux
predatory  prédateur
subtlety  subtilité
cavern  caverne
involuntary  involontaire
thicket  fourré
nigerian  nigérian
(prep)  (préparation)
idealism  idéalisme
suggested  suggéré
prowess  prouesse
booze  biberonner
magistrate  magistrat
burglar  cambrioleur
diffusion  la diffusion
campfire  feu de camp
specificity  spécificité
clerical  clérical
overlapping  chevauchement
ooze  suinter
hamstring  tendon
spearhead  fer de lance
argentine  argentin
(mommy)  (maman)
taiwanese  taiwanais
shallot  échalote
steaming  fumant
goggle  lunettes
bristle  poil
sweetie  chéri
locality  localité
verification  vérification
truce  trêve
dugout  pirogue
wake-up  se réveiller
timer  minuteur
astonished  étonné
threatening  menaçant
prerequisite  prérequis
mistakenly  par erreur
quad  quad
preschooler  enfant d'âge préscolaire
multiculturalism  multiculturalisme
padded  rembourré
shortcut  raccourci
antisocial  antisocial
underside  dessous
beak  le bec
tenuous  ténu
simulated  simulé
misty  brumeux
hanger  cintre
scowl  mine renfrognée
pedagogical  pédagogique
falling  chute
strikingly  étonnamment
repository  dépôt
refute  réfuter
spontaneously  spontanément
reassuring  rassurant
pee  pipi
meticulous  méticuleux
eminent  éminent
knowingly  sciemment
third-party  tierce personne
vaccination  vaccination
housekeeper  gouvernante
garner  recueillir
shingle  galets
sinner  pécheur
decorated  décoré
collage  collage
sympathize  sympathiser
neglected  négligé
militarily  militairement
biotech  biotechnologies
(iris)  (iris)
richly  richement
imperialism  impérialisme
backseat  banquette arrière
stillness  immobilité
canister  boîte
fraudulent  frauduleux
onslaught  assaut
relational  relationnel
bedding  literie
realistically  de façon réaliste
pastime  passe-temps
budge  bouger
submerge  submerger
usable  utilisable
antioxidant  antioxydant
homecoming  retour à la maison
peacekeeper  casque bleu
incorrectly  incorrectement
forage  fourrage
blah  blabla
institutionalize  institutionnaliser
illumination  éclairage
showroom  salle d'exposition
dated  daté
blister  cloque
hindsight  sagesse rétrospective
imposition  imposition
sliver  mèche
saturate  saturer
thorn  épine
uniformly  uniformément
discreet  discret
pebble  galet
whereabouts  où
shrinking  contraction
raging  rage
rebellious  rebelle
swivel  pivot
bookshelf  étagère à livres
divergent  divergent
arabian  arabe
ignition  allumage
jut  saillie
sputter  cracher
community-based  communautaire
(grandma)  (grand-mère)
inward  vers l'intérieur
quarrel  querelle
throttle  manette de gaz
methane  méthane
dementia  démence
newsroom  rédaction
woodland  des bois
hitch  attelage
binary  binaire
gaping  béant
topping  garniture
restored  restauré
allusion  allusion
bulldozer  bulldozer
fad  mode
homogeneous  homogène
perjury  parjure
heady  capiteux
repel  repousser
murderous  meurtrier
condone  fermer les yeux sur
blackout  coupure électrique
iced  glacé
ferocious  féroce
rehabilitate  réhabiliter
profitability  rentabilité
subdued  tamisé
gulp  gorgée
sociological  sociologique
cashier  la caissière
flair  flair
handcuff  passer les menottes
bloated  gonflé
pertaining  se rapportant
pricey  cher
gloss  brillant
espionage  espionnage
headset  casque
seismic  sismique
spree  fête
speaking  parlant
infinity  infini
wildflower  fleur sauvage
giddy  étourdi
delicacy  délicatesse
bogus  faux
inland  intérieur
prenatal  prénatal
titanium  titane
contemplation  contemplation
delve  creuser
frigid  froid
further  plus loin
itinerary  itinéraire
ethos  ethos
flipping  retourner
puree  purée
nibble  grignoter
ghostly  fantomatique
insistent  insistant
stylist  styliste
afloat  à flot
economical  économique
adamant  catégorique
gush  jet
overrun  envahi
fella  gars
mini  miniature
convent  couvent
rationality  rationalité
riding  équitation
high-rise  de grande hauteur
graphite  graphite
disturbed  perturbé
jig  gigue
full-scale  grandeur nature
imaginable  imaginable
unpublished  inédit
galley  galère
covenant  engagement
expulsion  expulsion
hepatitis  hépatite
esteem  estime
dichotomy  dichotomie
cross-cultural  interculturel
barricade  barricade
masculinity  masculinité
ecologist  écologiste
madden  fou
academia  milieu universitaire
bog  tourbière
subversive  subversif
deduct  déduire
croatian  croate
tinker  bricoler
troll  troll
concerted  concerté
quartet  quatuor
dummy  factice
truthful  véridique
landslide  glissement de terrain
wrestler  lutteur
fieldwork  travail de terrain
taint  entacher
sled  traîneau
contextual  contextuel
tandem  tandem
astonishment  étonnement
trample  piétiner
incorporation  incorporation
improperly  indûment
timid  timide
destabilize  déstabiliser
ambush  embuscade
(vice)  (vice)
borrowing  emprunt
taboo  tabou
edgy  nerveux
undocumented  sans papiers
penalize  pénaliser
rut  rut
symposium  symposium
upstream  en amont
urgently  instamment
felon  criminel
clarification  clarification
vulgar  vulgaire
censored  censuré
homelessness  itinérance
accompaniment  accompagnement
two-day  deux jours
wrongly  à tort
ax  hache
re-examine  réexaminer
creepy  sinistre
entourage  entourage
slit  fente
rummage  farfouiller
real-world  monde réel
neutrino  neutrino
deference  respect
doze  sommeiller
obligate  obliger
eyepiece  oculaire
discriminatory  discriminatoire
janitor  concierge
six-month  six mois
chancellor  chancelier
recourse  recours
kernel  noyau
purport  portée
medically  médicalement
birdie  oiseau
corroborate  corroborer
adversity  adversité
impatience  impatience
semantic  sémantique
grace  la grâce
anglo  anglo
pro-life  anti-avortement
yolk  jaune d'œuf
deserving  méritant
connotation  connotation
remodel  remodeler
ex-husband  ex-mari
incite  inciter
campsite  site de camp
primate  primate
parchment  parchemin
anarchy  anarchie
cumin  cumin
artificially  artificiellement
(hamlet)  (hamlet)
roadblock  barrage routier
coerce  contraindre
oily  huileux
immortal  immortel
oats  l'avoine
quicker  plus rapide
assertive  sûr de soi
spore  spore
flagship  vaisseau amiral
customize  personnaliser
picturesque  pittoresque
whack  battre
noticeably  visiblement
arithmetic  arithmétique
washer  machine à laver
relieved  soulagé
terrorize  terroriser
maternity  maternité
rainforest  forêt tropicale
palate  palais
wreak  assouvir
recurrent  récurrent
seminal  séminal
axe  hache
aw  oh
wad  liasse
depressive  dépressif
gruesome  horrible
bidder  soumissionnaire
skeletal  squelettique
seventy-five  soixante-quinze
targeted  ciblé
acutely  intensément
unsuccessfully  sans succès
rented  loué
hive  ruche
rodeo  rodeo
measurable  mesurable
subvert  subvertir
publicist  journaliste
liter  litre
menacing  menaçant
debilitating  débilitant
geopolitical  géopolitique
caveat  caveat
patterned  à motifs
ravine  ravin
bustling  animé
abnormality  anomalie
quarterly  trimestriel
after-school  après l'école
folklore  folklore
depress  déprimer
repressive  répressif
quicken  accélérer
redirect  réorienter
joyful  joyeux
crackle  crépiter
tributary  affluent
songwriter  auteur compositeur
unpack  déballer
tablecloth  nappe de table
stately  majestueux
secretive  secret
horrifying  effroyable
penchant  penchant
abduct  enlever
drone  drone
commando  commando
separated  séparé
sitter  modèle
modestly  modestement
crumbling  effritement
thrash  débattre
geology  géologie
hospitalization  hospitalisation
boon  aubaine
pointless  inutile
lengthen  allonger
accelerator  accélérateur
waking  veille
yarn  fil
ploy  stratagème
pretense  prétexte
seated  assise
liturgy  liturgie
teeter  vaciller
stirring  en remuant
logically  logiquement
bale  balle
converse  converser
unborn  à naître
stroller  poussette
barley  orge
slay  abattre
conformity  conformité
benevolent  bienveillant
coward  lâche
briskly  vivement
shaped  en forme de
fabrication  fabrication
fearless  intrépide
clockwise  dans le sens des aiguilles d'une montre
microorganism  micro-organisme
georgian  géorgien
deceptive  trompeur
strut  se pavaner
dormant  dormant
californian  californien
big-time  temps fort
destroyer  destructeur
vertically  verticalement
balancing  équilibrage
glittering  scintillant
acclaimed  acclamé
first-year  première année
manpower  main d'oeuvre
(pretest)  (pré-test)
two-week  deux semaines
toasted  grillé
carnage  carnage
relativity  relativité
juncture  conjoncture
coherence  la cohérence
rebirth  renaissance
ration  ration
birch  bouleau
antidote  antidote
barbed  barbelé
treatise  traité
manufactured  fabriqué
purge  purge
reactive  réactif
lunchtime  l'heure du déjeuner
quiver  trembler
legitimize  légitimer
lobe  lobe
deteriorating  se détériorer
for-profit  à but lucratif
ingenious  ingénieux
labyrinth  labyrinthe
intertwine  entrelacer
vigilant  vigilant
antelope  antilope
calculator  calculatrice
birthplace  lieu de naissance
contagious  contagieux
inspirational  inspirant
replay  rejouer
counterproductive  contreproductif
saliva  salive
disarmament  désarmement
utopian  utopique
autobiographical  autobiographique
enlighten  éclairer
sushi  sushi
headphone  casque de musique
sporadic  sporadique
sufferer  victime
totalitarian  totalitaire
troupe  troupe
veterinarian  vétérinaire
contrasting  contrastant
stiffness  raideur
blockade  blocus
(pat)  (tapoter)
outcry  tollé
conveniently  commodément
oregano  origan
stewardship  intendance
shin  tibia
unavoidable  inévitable
prosthesis  prothèse
pore  pore
surfer  surfeur
reunification  réunification
lemonade  limonade
milieu  milieu
rooster  le coq
procurement  approvisionnement
topical  topique
encode  encoder
ligament  ligament
unconditional  inconditionnel
plop  ploc
superstition  superstition
supremacy  suprématie
victorious  victorieux
rave  délirer
hugely  extrêmement
spaceship  vaisseau spatial
hazy  brumeux
swan  cygne
boulevard  boulevard
smallpox  variole
squid  calmar
groin  aine
stench  puanteur
sabotage  sabotage
solvent  solvant
thematic  thématique
crutch  béquille
dashboard  tableau de bord
insensitive  insensible
correctness  exactitude
puffy  bouffi
ingenuity  ingéniosité
tally  pointage
cascade  cascade
rescuer  sauveteur
geographically  géographiquement
baltic  baltique
foreseeable  prévisible
conscientious  consciencieux
charisma  charisme
diaspora  diaspora
baptism  baptême
(penguin)  (manchot)
subtitle  sous-titre
composting  compostage
threatened  menacé
optimize  optimiser
retribution  châtiment
budding  bourgeonnant
(marine)  (marin)
parochial  paroissial
stony  pierreux
caucasian  caucasien
totality  totalité
bloodshed  effusion de sang
decry  décrier
apprehend  appréhender
fennel  fenouil
touring  tournée
shaman  chaman
coupling  couplage
shawl  châle
predominant  prédominant
tyrant  tyran
reliably  de manière fiable
(fidelity)  (fidélité)
receiving  recevoir
peddle  colporter
depletion  épuisement
transcendent  transcendant
tremor  tremblement
low-level  niveau faible
(depot)  (dépôt)
left-wing  aile gauche
sinking  naufrage
worrisome  inquiétant
solidly  solidement
spoken  parlé
unheard  inouï
twenty-six  vingt-six
occupancy  occupation
secretary-general  secrétaire général
planter  planteur
stormy  orageux
subjectivity  subjectivité
(violet)  (violet)
fastball  balle rapide
knack  truc
(highland)  (montagnes)
instructive  instructif
languish  languir
serpent  serpent
fiddle  violon
commotion  agitation
petite  menue
frenchman  français
stretcher  tendeur
bask  se prélasser
animosity  animosité
predictably  de façon prévisible
airwaves  les ondes
incomprehensible  incompréhensible
easel  chevalet
flawless  sans défaut
staunch  étancher
glucose  glucose
spasm  spasme
streamline  rationaliser
staging  mise en scène
squander  gaspiller
discontinue  cesser
beggar  mendiant
ipod  ipod
medic  médical
intestine  intestin
etiquette  étiquette
segregated  séparé
tripod  trépied
prematurely  prématurément
caress  caresse
on-screen  à l'écran
shutdown  fermer
miraculously  miraculeusement
fruitful  fructueux
medicinal  médicinal
wicker  osier
ketchup  ketchup
impatiently  impatiemment
matchup  correspondre
restroom  salle de repos
crushing  écrasement
low-key  discret
immature  immature
thirds  tiers
dishwasher  lave-vaisselle
harshly  durement
junkie  junkie
hobble  entraver
prognosis  pronostic
intermediary  intermédiaire
fastest-growing  croissance la plus rapide
bourbon  bourbon
