the  la
urgently  instamment
felon  criminel
clarification  clarification
vulgar  vulgaire
censored  censuré
homelessness  itinérance
accompaniment  accompagnement
two-day  deux jours
wrongly  à tort
ax  hache
away  une façon
re-examine  réexaminer
creepy  sinistre
entourage  entourage
slit  fente
rummage  farfouiller
real-world  monde réel
neutrino  neutrino
deference  respect
doze  sommeiller
obligate  obliger
eyepiece  oculaire
discriminatory  discriminatoire
janitor  concierge
six-month  six mois
chancellor  chancelier
national  nationale
recourse  recours
kernel  noyau
purport  portée
medically  médicalement
birdie  oiseau
corroborate  corroborer
adversity  adversité
impatience  impatience
semantic  sémantique
grace  la grâce
anglo  anglo
pro-life  anti-avortement
yolk  jaune d'œuf
deserving  méritant
connotation  connotation
remodel  remodeler
ex-husband  ex-mari
incite  inciter
campsite  site de camp
stable  stable
primate  primate
parchment  parchemin
anarchy  anarchie
cumin  cumin
artificially  artificiellement
(hamlet)  (hamlet)
pool  bassin
roadblock  barrage routier
coerce  contraindre
petition  pétition
oily  huileux
immortal  immortel
oats  l'avoine
quicker  plus rapide
assertive  sûr de soi
spore  spore
complement  complément
flagship  vaisseau amiral
customize  personnaliser
loop  boucle
picturesque  pittoresque
insert  insérer
whack  battre
noticeably  visiblement
arithmetic  arithmétique
washer  machine à laver
relieved  soulagé
terrorize  terroriser
maternity  maternité
rainforest  forêt tropicale
palate  palais
wreak  assouvir
recurrent  récurrent
seminal  séminal
axe  hache
tabloid  tabloïde
aw  oh
wad  liasse
depressive  dépressif
gruesome  horrible
bidder  soumissionnaire
skeletal  squelettique
seventy-five  soixante-quinze
targeted  ciblé
acutely  intensément
unsuccessfully  sans succès
rented  loué
consent  consentement
hive  ruche
rodeo  rodeo
measurable  mesurable
subvert  subvertir
publicist  journaliste
liter  litre
menacing  menaçant
debilitating  débilitant
offensive  offensive
geopolitical  géopolitique
caveat  caveat
patterned  à motifs
ravine  ravin
bustling  animé
chinese  chinois
abnormality  anomalie
quarterly  trimestriel
after-school  après l'école
phase  phase
folklore  folklore
drum  tambouriner
depress  déprimer
trickle  goutte à goutte
repressive  répressif
quicken  accélérer
redirect  réorienter
joyful  joyeux
crackle  crépiter
tributary  affluent
blank  vide
songwriter  auteur compositeur
unpack  déballer
tablecloth  nappe de table
chain  chaîne
audition  audition
stately  majestueux
secretive  secret
horrifying  effroyable
penchant  penchant
abduct  enlever
spit  cracher
slot  fente
drone  drone
commando  commando
separated  séparé
sitter  modèle
modestly  modestement
crumbling  effritement
thrash  débattre
geology  géologie
hospitalization  hospitalisation
boon  aubaine
pointless  inutile
lengthen  allonger
smear  diffamer
accelerator  accélérateur
waking  veille
yarn  fil
ploy  stratagème
pretense  prétexte
seated  assise
liturgy  liturgie
teeter  vaciller
stirring  en remuant
logically  logiquement
fuse  fusible
bale  balle
cooperative  coopérative
converse  converser
unborn  à naître
stroller  poussette
barley  orge
slay  abattre
say  dire
conformity  conformité
benevolent  bienveillant
coward  lâche
briskly  vivement
manifest  manifeste
shaped  en forme de
fabrication  fabrication
fearless  intrépide
clockwise  dans le sens des aiguilles d'une montre
microorganism  micro-organisme
georgian  géorgien
deceptive  trompeur
strut  se pavaner
dormant  dormant
californian  californien
big-time  temps fort
destroyer  destructeur
vertically  verticalement
balancing  équilibrage
glittering  scintillant
acclaimed  acclamé
first-year  première année
manpower  main d'oeuvre
triumph  triomphe
(pretest)  (pré-test)
two-week  deux semaines
farm  cultiver
sparkle  scintillait
toasted  grillé
carnage  carnage
relativity  relativité
juncture  conjoncture
coherence  la cohérence
rebirth  renaissance
ration  ration
birch  bouleau
antidote  antidote
barbed  barbelé
even  même
treatise  traité
manufactured  fabriqué
damn  zut
purge  purge
reactive  réactif
lunchtime  l'heure du déjeuner
quiver  trembler
legitimize  légitimer
lobe  lobe
deteriorating  se détériorer
for-profit  à but lucratif
nickname  surnom
ingenious  ingénieux
labyrinth  labyrinthe
intertwine  entrelacer
vigilant  vigilant
antelope  antilope
calculator  calculatrice
birthplace  lieu de naissance
contagious  contagieux
inspirational  inspirant
replay  rejouer
bulge  renflement
counterproductive  contreproductif
saliva  salive
disarmament  désarmement
utopian  utopique
autobiographical  autobiographique
enlighten  éclairer
sushi  sushi
headphone  casque de musique
sporadic  sporadique
sufferer  victime
totalitarian  totalitaire
exploit  exploit
troupe  troupe
veterinarian  vétérinaire
contrasting  contrastant
bike  bicyclette
stiffness  raideur
blockade  blocus
budget  budget
(pat)  (tapoter)
outcry  tollé
fancy  fantaisie
solo  solo
conveniently  commodément
oregano  origan
stewardship  intendance
shin  tibia
unavoidable  inévitable
prosthesis  prothèse
pore  pore
surfer  surfeur
reunification  réunification
lemonade  limonade
milieu  milieu
rooster  le coq
procurement  approvisionnement
topical  topique
swamp  marais
encode  encoder
ligament  ligament
unconditional  inconditionnel
plop  ploc
superstition  superstition
supremacy  suprématie
victorious  victorieux
rave  délirer
hugely  extrêmement
spaceship  vaisseau spatial
hazy  brumeux
swan  cygne
boulevard  boulevard
smallpox  variole
squid  calmar
groin  aine
constant  constant
stench  puanteur
sabotage  sabotage
solvent  solvant
thematic  thématique
crutch  béquille
buckle  boucle
dashboard  tableau de bord
insensitive  insensible
correctness  exactitude
puffy  bouffi
ingenuity  ingéniosité
tally  pointage
claw  griffe
blush  rougir
cascade  cascade
rescuer  sauveteur
geographically  géographiquement
baltic  baltique
groan  gémissement
foreseeable  prévisible
conscientious  consciencieux
charisma  charisme
diaspora  diaspora
baptism  baptême
(penguin)  (manchot)
subtitle  sous-titre
composting  compostage
threatened  menacé
optimize  optimiser
retribution  châtiment
budding  bourgeonnant
(marine)  (marin)
parochial  paroissial
stony  pierreux
caucasian  caucasien
tower  la tour
totality  totalité
bloodshed  effusion de sang
decry  décrier
apprehend  appréhender
fennel  fenouil
touring  tournée
shaman  chaman
coupling  couplage
shawl  châle
predominant  prédominant
tyrant  tyran
reliably  de manière fiable
(fidelity)  (fidélité)
receiving  recevoir
peddle  colporter
depletion  épuisement
transcendent  transcendant
tremor  tremblement
low-level  niveau faible
(depot)  (dépôt)
left-wing  aile gauche
sinking  naufrage
worrisome  inquiétant
solidly  solidement
spoken  parlé
unheard  inouï
twenty-six  vingt-six
occupancy  occupation
secretary-general  secrétaire général
planter  planteur
stormy  orageux
subjectivity  subjectivité
(violet)  (violet)
fastball  balle rapide
knack  truc
(highland)  (montagnes)
instructive  instructif
languish  languir
serpent  serpent
fiddle  violon
commotion  agitation
petite  menue
frenchman  français
stretcher  tendeur
bask  se prélasser
animosity  animosité
predictably  de façon prévisible
airwaves  les ondes
incomprehensible  incompréhensible
easel  chevalet
flawless  sans défaut
bounce  rebondir
sprawl  étalement
staunch  étancher
outward  vers l'extérieur
glucose  glucose
spasm  spasme
howl  hurler
streamline  rationaliser
staging  mise en scène
sway  se balancer
squander  gaspiller
discontinue  cesser
beggar  mendiant
ipod  ipod
branch  branche
medic  médical
intestine  intestin
etiquette  étiquette
segregated  séparé
tripod  trépied
prematurely  prématurément
caress  caresse
on-screen  à l'écran
skirt  jupe
shutdown  fermer
miraculously  miraculeusement
fruitful  fructueux
medicinal  médicinal
inland  intérieur
wicker  osier
ketchup  ketchup
impatiently  impatiemment
matchup  correspondre
restroom  salle de repos
crushing  écrasement
overhaul  révision
low-key  discret
immature  immature
shrink  rétrécir
thirds  tiers
dishwasher  lave-vaisselle
harshly  durement
junkie  junkie
hobble  entraver
prognosis  pronostic
intermediary  intermédiaire
fastest-growing  croissance la plus rapide
bourbon  bourbon
bruised  meurtri
small-scale  à petite échelle
queer  queer
deportation  déportation
fraught  chargé
pathologist  pathologiste
riddle  cribler
squeal  hurler
appellate  appel
galactic  galactique
inadequacy  insuffisance
dribble  dribble
perceptual  perceptif
negligence  négligence
volatility  volatilité
cheekbone  pommette
double  double
silky  soyeux
tally  pointage
glaze  glaçage
beaver  castor
torrent  torrent
tort  délit
locomotive  locomotive
unconsciously  inconsciemment
lash  fouetter
weakly  faiblement
primal  primitif
durability  durabilité
contingent  contingent
dimly  faiblement
humankind  humanité
mayonnaise  mayonnaise
image  image
notification  notification
unmarked  non marqué
nitrate  nitrate
plaster  plâtre
breach  enfreindre
policy-making  l'élaboration des politiques
mast  mât
fiance  fiancé
dreamer  rêveur
better  mieux
hard-line  ligne dure
grandeur  grandeur
candlelight  chandelle
convict  condamné
coarsely  grossièrement
interracial  interracial
shameful  honteux
utmost  maximum
aptly  avec justesse
groundwork  travail préparatoire
dogma  dogme
peek  coup d'oeil
cyberspace  cyberespace
interstellar  interstellaire
mesmerize  hypnotiser
bruise  hématome
midwife  sage-femme
jack  jack
chilean  chilien
populace  populace
protracted  prolongé
fundamentalism  fondamentalisme
tack  clouer
lug  patte
elastic  élastique
peacekeeping  maintien de la paix
ruined  ruiné
breast-feeding  allaitement maternel
baffle  baffle
bandit  bandit
protrude  dépasser
clinically  cliniquement
pavilion  pavillon
acculturation  acculturation
breaker  briseur
wanted  voulait
loose  ample
(ore)  (minerai)
precipitation  précipitation
horrendous  horrible
densely  à forte densité
gingerly  avec précaution
childish  puéril
obscenity  obscénité
handbag  sac à main
cool  frais
articulate  articuler
befriend  se lier d'amitié
heroism  héroïsme
medalist  médaillé
wretched  misérable
interplay  réciproque
exhale  exhaler
teamwork  travail en équipe
waft  bouffée
doorbell  sonnette
moody  de mauvaise humeur
situational  situationnel
guidebook  guide
wasp  guêpe
existential  existentiel
saddle  selle
alloy  alliage
discretionary  discrétionnaire
mischief  sottises
optimist  optimiste
oval  ovale
manhood  virilité
disputed  contesté
aristocratic  aristocratique
bye-bye  bye bye
adjunct  auxiliaire
turning  tournant
formative  formatif
helium  hélium
crumple  froisser
generational  générationnel
sludge  boue
nutmeg  noix de muscade
feasibility  faisabilité
fray  combat
dislike  ne pas aimer
giftedness  douance
termite  termite
pellet  pastille
taker  preneur
(cub)  (lionceau)
median  médian
tether  attache
connecting  de liaison
(rbi)  (rbi)
fencing  escrime
approximate  approximatif
unprotected  non protégé
workload  charge de travail
verbally  verbalement
prelude  prélude
glitter  briller
forbidden  interdit
redwood  séquoia
essential  essentiel
dissect  disséquer
modesty  modestie
pipe  tuyau
abyss  abîme
attrition  usure
rout  déroute
enclosed  enfermé
anterior  antérieur
stuffing  rembourrage
estranged  éloigné
coding  codage
cosmology  cosmologie
bribe  pot-de-vin
sprint  sprint
fantasize  fantasmer
grassland  prairie
idealistic  idéaliste
alaskan  alaskien
gut  intestin
random  aléatoire
clandestine  clandestin
propagate  propager
quiet  silencieux
flop  fiasco
weaponry  armes
hind  de derrière
silvery  argenté
mysteriously  mystérieusement
re-enter  réintégrer
borough  arrondissement
enigmatic  énigmatique
tibetan  tibétain
resting  repos
allure  séduire
distraught  éperdu
unruly  indiscipliné
wag  remuer
eschew  éviter
schizophrenia  schizophrénie
(cardinal)  (cardinal)
thankfully  heureusement
bullying  harcèlement
up-to-date  à jour
piety  piété
opium  opium
(delta)  (delta)
negotiated  négocié
uniqueness  unicité
otter  loutre
y'all  vous tous
looming  qui se profile
wither  flétrir
liberating  libérateur
reimburse  rembourser
almighty  tout-puissant
bagel  beignet
solace  réconfort
carnival  carnaval
cancellation  annulation
airliner  avion de ligne
bullpen  enclos des releveurs
grossly  grossièrement
stratum  strate
tar  le goudron
jab  coup
brute  brute
extinguish  éteindre
ransom  une rançon
inaugurate  inaugurer
reconnaissance  reconnaissance
fluent  courant
meticulously  méticuleusement
leftover  laissé pour compte
perpetrate  perpétrer
cock  coq
nonstick  antiadhésif
leopard  léopard
shuffling  mélanger
screech  hurler
elective  électif
attendee  participant
bittersweet  doux-amer
rationalize  rationaliser
infertility  infertilité
circumvent  circonvenir
digestive  digestif
uphill  montée
infidelity  infidélité
bystander  spectateur
vice-president  vice-président
chilled  glacé
hourly  toutes les heures
flannel  flanelle
(ace)  (as)
tamper  altérer
subset  sous-ensemble
taped  enregistré
scorn  mépris
exempt  exempter
venetian  vénitien
rumble  gronder
blinding  aveuglant
mash  purée
temp  temp
contracting  contracter
conservationist  écologiste
scholastic  scolaire
bunny  lapin
